Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,Explicit Track,Unnamed: 28
"jealousy, jealousy",SOUR,Olivia Rodrigo,21/05/2021,USUG12101248,"1,878","33,6",884616492,"101,479",24049783,77.0,211384847,2822121,"94,602",92641326,464412661,14107434,32.0,1529,7.0,10.0,32485,8.0,21456287,28539,,1187607,0.0,
Shaky Shaky,Shaky Shaky,Daddy Yankee,08/04/2016,US2BU1600020,"1,872","33,6",355833360,"32,831",9930933,57.0,1841152614,6950519,"673,957",68853618,580818135,246854508,32.0,9113,64.0,22.0,84506,22.0,49501753,161901,,2606582,0.0,
El Amante,El Amante,Nicky Jam,01/01/2017,USSD11600415,"1,87","33,6",583299836,"52,696",14027229,64.0,1463687327,4556113,"206,254",7981083,107045562,279080167,52.0,15341,82.0,32.0,318807,33.0,196553476,74725,,5312033,0.0,
ICU,ICU,Coco Jones,21/10/2022,USUM72216687,"1,881","33,5",52106559,"13,612",2835147,61.0,70625059,"637,218","50,21",9243349,81185287,143356579,30.0,173142,104.0,4.0,432333,36.0,52357286,37370,4473646,1514755,0.0,
Way down We Go,Way Down We Go,KALEO,07/08/2015,USAT21502122,"1,879","33,5",1086861259,"228,925",44949918,79.0,836662907,8009540,1629364,344124487,4201171109,180196685,25.0,105889,97.0,117.0,717998,25.0,,,,,0.0,
24K Magic,"NOW That's What I Call Music, Vol. 61",Bruno Mars,27/01/2017,USAT21603246,"1,882","33,5",1425996809,995,"505,357",32.0,1917522970,10237469,,,,1676191851,2.0,,,,,,,,,,0.0,
Joy (In My Own Time) - Tribe Song,Joy (In My Own Time) [Tribe Song],DAMIEN,31/03/2023,AUMEV2312696,"1,88","33,5","6,3",10,398,3.0,371579831,"300,617",7,807,29251,45503399,,30,,,,,,,,,0.0,
PILLOWTALK,Mind Of Mine (Deluxe Edition),ZAYN,25/03/2016,USRC11600042,"1,883","33,5",1320205697,"124,827",38410821,71.0,1389678876,10725384,"184,911",26228617,191249307,205101912,155.0,43881,64.0,67.0,381330,26.0,,,,7226364,1.0,
Enemy - Radio Edit,"NOW That's What I Call Music!, Vol. 82",Imagine Dragons,06/05/2022,USUM72019717,"1,886","33,4","820,953",204,"16,612",22.0,38888242,"500,894",,,,,,576584,,,,,,,,,0.0,
When It Comes To You,When It Comes To You,Fridayy,21/07/2023,USUM72309787,"1,884","33,4",36398813,"7,606",12388422,62.0,51105810,"440,385","42,585",3116540,30427598,166879315,17.0,65182,77.0,5.0,660396,39.0,37401204,8950,3499801,1019440,0.0,
